RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Alpha,Beta
10,1,0,15.18971,87.021254,4196.661096,14.746516,-0.000189,-0.000501,0.000476,-0.000344,0.004157,0.00005,0.115279,0.102294,-0.085205,-0.168636,-0.023139,0,0,0
10,2,0,15.163287,87.341122,4196.650482,14.746465,-0.009066,0.006211,0.000848,-0.000542,0.018137,-0.002041,0.473222,0.437369,3.566876,-0.41746,-0.058021,0,5,0
10,3,0,15.172773,87.835394,4196.629106,14.746832,-0.016962,0.011895,0.001142,-0.000671,0.033147,-0.004254,0.83853,0.798593,6.746671,-0.617882,-0.093301,0,10,0
10,4,0,15.169382,88.103317,4196.650114,14.746828,-0.019233,0.013362,0.001231,-0.00078,0.049452,-0.003938,0.971322,1.194886,7.616413,-0.688397,-0.093075,0,15,0
10,5,0,15.143828,88.149696,4196.661849,14.747581,-0.019133,0.013081,-0.000449,0.000475,0.049635,-0.005209,0.994431,1.19957,7.550446,-0.067654,-0.037416,0,15,4
10,6,0,15.17886,88.562451,4196.682677,14.747708,-0.017387,0.011976,-0.000785,0.000578,0.033247,-0.004607,0.888747,0.801158,6.891098,0.046066,0.002902,0,10,4
10,7,0,15.145587,88.17174,4196.712346,14.748438,-0.009217,0.005973,-0.001104,0.000754,0.017973,-0.002134,0.530683,0.433835,3.572166,0.266918,0.033728,0,5,4
10,8,0,15.16934,87.831241,4196.757637,14.746879,-0.00026,-0.000689,-0.001374,0.000937,0.002884,0.000172,0.151292,0.071556,-0.087199,0.49117,0.055472,0,0,4
10,9,0,15.146418,88.77446,4196.771724,14.747922,-0.000273,-0.000772,-0.003577,0.002436,0.003816,0.000138,0.159132,0.094321,-0.073176,1.270517,0.155142,0,0,8
10,10,0,15.117797,88.032526,4196.829642,14.747727,-0.008945,0.005582,-0.003073,0.002113,0.018389,-0.002232,0.543026,0.444343,3.443572,0.972733,0.118839,0,5,8
10,11,0,15.12086,88.335105,4197.085772,14.748076,-0.017594,0.012074,-0.002792,0.001989,0.032159,-0.005048,0.89933,0.774486,6.991937,0.762519,0.085757,0,10,8
10,12,0,15.132183,88.757423,4197.140101,14.747764,-0.020435,0.013969,-0.002522,0.001877,0.048059,-0.007308,1.055599,1.160452,8.094563,0.644796,0.05652,0,15,8
10,13,0,15.099736,89.18655,4197.229622,14.747301,-0.020809,0.014022,-0.003656,0.002716,0.048287,-0.007262,1.104083,1.166048,8.2101,1.056385,0.094629,0,15,10
10,14,0,15.09355,88.720039,4197.278427,14.747333,-0.017729,0.011962,-0.003838,0.002706,0.032817,-0.005247,0.936139,0.790762,7.010766,1.133473,0.130798,0,10,10
10,15,0,15.104566,89.313597,4197.316379,14.748292,-0.009185,0.005735,-0.004286,0.002961,0.018178,-0.002249,0.552938,0.439032,3.553308,1.402901,0.169795,0,5,10
10,16,0,15.087237,89.016768,4197.367338,14.747485,-0.000152,-0.000919,-0.00461,0.003146,0.003756,0.000138,0.15973,0.092989,-0.121556,1.639599,0.200447,0,0,10
11,1,1,0,0,0,0,0.164615,0.132882,-0.076965,0.116874,6.678942,0.017259,-49.737987,162.290944,-6.469449,41.650558,-5.584975,0,0,0
11,2,0,0.626895,86.569617,4200.219525,14.860417,-0.001906,0.001191,0.000133,-0.00006,0.040668,-0.000534,0.117244,0.989955,0.71146,-0.060698,-0.015213,0,15,0
12,1,0,14.632296,87.864064,4199.699726,14.743094,-0.000943,-0.000091,0.000346,-0.000229,0.003572,-0.000325,0.171258,0.087827,0.18929,-0.126825,-0.023552,0,0,0
12,2,0,14.654724,88.402387,4199.649623,14.743766,-0.007365,0.004715,0.000403,-0.000217,0.018167,-0.004877,0.437684,0.439456,2.821308,-0.228432,-0.041601,0,5,0
12,3,0,14.672568,88.315276,4199.641375,14.743543,-0.012888,0.008734,0.000452,-0.000182,0.03326,-0.006617,0.685359,0.803944,5.056565,-0.309197,-0.062084,0,10,0
12,4,0,14.653318,88.584528,4199.625302,14.744233,-0.016275,0.010997,0.000293,-0.000098,0.048403,-0.007076,0.869922,1.171289,6.379461,-0.302989,-0.056122,0,15,0
12,5,0,14.644995,89.013334,4199.600963,14.743733,-0.016567,0.011013,-0.001643,0.001285,0.0487,-0.007225,0.908078,1.178551,6.478654,0.392697,0.019027,0,15,4
12,6,0,14.652074,88.626005,4199.602827,14.744223,-0.013077,0.00868,-0.001852,0.001398,0.033634,-0.006793,0.717109,0.813174,5.12007,0.507016,0.039214,0,10,4
12,7,0,14.760246,88.591111,4199.591764,14.742869,-0.007708,0.004792,-0.001772,0.001315,0.017819,-0.005063,0.473458,0.430922,2.950402,0.547932,0.046861,0,5,4
12,8,0,14.744639,88.583179,4199.597574,14.742085,-0.00105,-0.000268,-0.001748,0.001211,0.002972,-0.000223,0.210515,0.073483,0.201609,0.617299,0.067164,0,0,4
12,9,0,14.736349,88.928442,4199.578234,14.742773,-0.001343,-0.000134,-0.003764,0.002608,0.0039,-0.00033,0.22952,0.095951,0.330166,1.331905,0.153499,0,0,8
12,10,0,14.732946,88.840158,4199.582446,14.74269,-0.007641,0.004637,-0.003912,0.002763,0.017817,-0.005183,0.480493,0.431036,2.928207,1.304584,0.144993,0,5,8
12,11,0,14.746113,89.233614,4199.554651,14.74249,-0.013617,0.008933,-0.003898,0.002862,0.03303,-0.007537,0.756698,0.798215,5.335418,1.238598,0.118437,0,10,8
12,12,0,14.734347,89.067845,4199.555489,14.742164,-0.01698,0.011163,-0.003603,0.002737,0.048271,-0.007383,0.943816,1.167912,6.638863,1.105797,0.086352,0,15,8
12,13,0,14.840223,88.755712,4199.573436,14.741533,-0.017553,0.011484,-0.004922,0.003623,0.048565,-0.007596,0.980882,1.174875,6.866852,1.56213,0.14698,0,15,10
12,14,0,14.86484,89.65219,4199.570078,14.741661,-0.014193,0.009158,-0.00498,0.003566,0.033718,-0.007836,0.81089,0.814966,5.537612,1.608022,0.171085,0,10,10
12,15,0,14.910526,88.978919,4199.569752,14.740645,-0.008053,0.004828,-0.005105,0.003612,0.01862,-0.005383,0.512401,0.450456,3.086077,1.729404,0.191554,0,5,10
12,16,0,15.039341,89.036689,4199.574088,14.739732,-0.001553,-0.000073,-0.005052,0.003495,0.004221,-0.000326,0.249391,0.103737,0.411617,1.787337,0.209535,0,0,10
14,1,1,0,0,0,0,0.164773,0.132763,-0.076847,0.116873,6.677754,0.023685,-49.744381,162.262003,-6.535214,41.627563,-5.603852,0,0,0
14,2,0,0.104972,86.471884,4201.046143,14.851804,-0.002016,0.001221,0.000229,-0.000205,0.0408,-0.00068,0.131238,0.993286,0.742154,-0.112239,-0.006509,0,15,0
15,1,0,14.676138,86.750752,4200.786687,14.737555,-0.000216,-0.000236,0.000607,-0.000319,0.005395,-0.000565,0.075942,0.131913,-0.016736,-0.193496,-0.046994,0,0,0
15,2,0,14.842783,87.245007,4200.646869,14.73613,-0.007095,0.004932,0.001123,-0.000731,0.018696,0.001327,0.360172,0.451841,2.800685,-0.48792,-0.066921,0,5,0
15,3,0,14.905845,88.44023,4200.29257,14.735317,-0.014276,0.01014,0.001579,-0.000986,0.032221,0.002078,0.686693,0.777239,5.698905,-0.739113,-0.105559,0,10,0
15,4,0,14.883221,88.235235,4200.256382,14.735084,-0.017161,0.012019,0.001571,-0.001046,0.048493,0.000806,0.852559,1.172481,6.810834,-0.787437,-0.099096,0,15,0
15,5,0,14.875681,88.262083,4200.231129,14.735283,-0.017431,0.011908,-0.000361,0.000397,0.048564,0.000587,0.907739,1.174363,6.874972,-0.078535,-0.035727,0,15,4
15,6,0,14.863499,88.566504,4200.19724,14.736071,-0.0147,0.010103,-0.000825,0.000658,0.032761,0.001979,0.754072,0.790646,5.822102,0.10939,-0.000546,0,10,4
15,7,0,14.861628,88.423433,4200.177728,14.735556,-0.007389,0.004729,-0.001141,0.000786,0.017658,0.001483,0.43398,0.427034,2.852078,0.306905,0.036847,0,5,4
15,8,0,14.869322,88.511658,4200.13865,14.735691,-0.000597,-0.0005,-0.001436,0.000947,0.00304,-0.000401,0.175557,0.075312,0.036349,0.502034,0.063025,0,0,4
15,9,0,14.860048,88.543477,4200.128199,14.735867,-0.000561,-0.000648,-0.003614,0.002416,0.003835,-0.000181,0.186142,0.094828,0.02341,1.270837,0.163665,0,0,8
15,10,0,14.867605,88.667742,4200.121007,14.735019,-0.007253,0.004402,-0.003061,0.002072,0.017812,0.001458,0.458715,0.431203,2.769447,0.985535,0.126275,0,5,8
15,11,0,14.866621,88.767978,4200.110304,14.73604,-0.014636,0.009909,-0.002761,0.00196,0.032083,0.001909,0.768547,0.774345,5.788478,0.792969,0.089166,0,10,8
15,12,0,14.834694,88.907139,4200.105649,14.735727,-0.01765,0.011899,-0.002334,0.001783,0.047432,-0.000306,0.938134,1.146812,6.951885,0.626191,0.045242,0,15,8
15,13,0,14.84148,89.235225,4200.092604,14.735762,-0.018509,0.012299,-0.003677,0.00269,0.047885,-0.000441,1.009023,1.157697,7.265419,1.08917,0.104698,0,15,10
15,14,0,14.84401,88.796164,4200.086267,14.735473,-0.014865,0.009835,-0.003727,0.002586,0.032924,0.001827,0.815213,0.795122,5.836697,1.126788,0.136585,0,10,10
15,15,0,14.84594,89.222133,4200.079941,14.736489,-0.007688,0.004602,-0.004111,0.002784,0.018464,0.001596,0.493746,0.44701,2.932779,1.351125,0.173143,0,5,10
15,16,0,14.847972,89.358387,4200.057591,14.736239,-0.000493,-0.000805,-0.004644,0.003137,0.004286,0.000016,0.197008,0.105978,-0.015279,1.641211,0.206346,0,0,10
15,17,0,14.860955,89.29904,4200.071227,14.735169,-0.000623,-0.000538,0.002559,-0.001997,0.003217,-0.000674,0.201472,0.080119,-0.025355,-0.957382,-0.080586,0,0,-4
15,18,0,14.860316,89.540656,4200.06997,14.735383,-0.007218,0.004499,0.002717,-0.002095,0.016993,0.001623,0.458747,0.411573,2.700662,-1.106926,-0.095469,0,5,-4
15,19,0,14.862148,88.998797,4200.051044,14.735736,-0.014246,0.009727,0.003154,-0.002366,0.031363,0.002357,0.756823,0.757451,5.56825,-1.356652,-0.127289,0,10,-4
15,20,0,14.838311,89.388504,4200.043236,14.735055,-0.017537,0.012013,0.003011,-0.002376,0.046877,0.001055,0.922303,1.133828,6.873361,-1.372991,-0.107028,0,15,-4
